Index,Quantity,Part Number,Description,Customer Reference,Available Quantity,Backorder Quantity,Unit Price USD,Extended Price USD,
1,1,380-1109-ND,CONN MAGJACK 1PORT 1000 BASE-T,,1,0,5.70000,5.70,
2,8,732-7064-1-ND,ROUND STANDOFF M2.5 STEEL 1MM,,8,0,1.09000,8.72,
3,10,36-24380-ND,HEX STANDOFF M2.5 BRASS 5MM,,10,0,0.41100,4.11,
4,1,CP-036AHPJCT-ND,CONN PWR JACK 2X5.5MM SOLDER,,1,0,1.39000,1.39,
5,1,A107335-ND,CONN PLUG 220POS 0.5MM DUAL SMT,,1,0,19.38000,19.38,
6,1,A115172-ND,CONN PLUG 220POS 0.5MM DUAL SMT,,1,0,18.52000,18.52,
7,1,A123340CT-ND,CONN PCI EXP MINI FEMALE 52POS,,1,0,0.82000,0.82,
8,2,1589-1252-1-ND,IC REG BUCK ADJ 2A SYNC 20QFN,,2,0,4.38000,8.76,
9,10,311-63.4KCRCT-ND,RES SMD 63.4K OHM 1% 1/8W 0805,,10,0,0.02200,0.22,
10,10,311-160KCRCT-ND,RES SMD 160K OHM 1% 1/8W 0805,,10,0,0.02200,0.22,
11,10,311-30.1KCRCT-ND,RES SMD 30.1K OHM 1% 1/8W 0805,,10,0,0.02200,0.22,
12,10,311-100KCRCT-ND,RES SMD 100K OHM 1% 1/8W 0805,,10,0,0.02200,0.22,
13,10,311-56.0KCRCT-ND,RES SMD 56K OHM 1% 1/8W 0805,,10,0,0.02200,0.22,
14,17,311-10.0KHRCT-ND,RES SMD 10K OHM 1% 1/10W 0603,,17,0,0.01500,0.26,
15,10,311-1.00KHRCT-ND,RES SMD 1K OHM 1% 1/10W 0603,,10,0,0.01500,0.15,
16,10,311-330HRCT-ND,RES SMD 330 OHM 1% 1/10W 0603,,10,0,0.01500,0.15,
17,10,311-180HRCT-ND,RES SMD 180 OHM 1% 1/10W 0603,,10,0,0.01500,0.15,
18,1,PCE4014CT-ND,CAP ALUM 1UF 20% 50V SMD,,1,0,0.35000,0.35,
19,3,PCE3878CT-ND,CAP ALUM 10UF 20% 16V SMD,,3,0,0.28000,0.84,
20,3,PCE3882CT-ND,CAP ALUM 22UF 20% 16V SMD,,3,0,0.31000,0.93,
21,3,DDZ9V1CSDICT-ND,DIODE ZENER 9.07V 200MW SOD323,,3,0,0.35000,1.05,
22,10,P330DACT-ND,RES SMD 330 OHM 0.1% 1/8W 0805,,10,0,0.30200,3.02,
23,100,399-1095-1-ND,CAP CER 0.1UF 10V X7R 0603,,100,0,0.01300,1.30,
24,10,311-51.0KCRCT-ND,RES SMD 51K OHM 1% 1/8W 0805,,10,0,0.02200,0.22,
25,6,754-1943-1-ND,LED BLUE CLEAR 1206 SMD,,6,0,0.61000,3.66,
26,4,SW1020CT-ND,SWITCH TACTILE SPST-NO 0.05A 12V,,4,0,1.00000,4.00,
27,1,S1111EC-40-ND,CONN HEADER .100" SNGL R/A 40POS,,1,0,0.83000,0.83,
28,1,S2111EC-40-ND,CONN HEADER .100" DUAL R/A 80POS,,1,0,2.43000,2.43,
29,1,A125031CT-ND,LATCH 52POS MINI PCI,,1,0,1.39000,1.39,
